model,class,bin,n,mean_probability,observed_fraction
classifier,DOWN,0,425,0.061740869851026184,0.13647058823529412
classifier,DOWN,1,529,0.14810015219266742,0.19659735349716445
classifier,DOWN,2,629,0.25111827206778997,0.29093799682034976
classifier,DOWN,3,599,0.3483825059973064,0.2888146911519199
classifier,DOWN,4,444,0.44559734693896424,0.3918918918918919
classifier,DOWN,5,70,0.5244861779635617,0.4
classifier,DOWN,6,3,0.6190245876185575,0.0
calibrated,DOWN,0,177,0.07980622245485623,0.10734463276836158
calibrated,DOWN,1,553,0.15379238270279183,0.162748643761302
calibrated,DOWN,2,852,0.2558993967767973,0.27699530516431925
calibrated,DOWN,3,967,0.34752140744033316,0.33195449844881075
calibrated,DOWN,4,150,0.41501336727865573,0.36
classifier,NEUTRAL,1,25,0.18346161772917507,0.32
classifier,NEUTRAL,2,373,0.27361482074478366,0.34316353887399464
classifier,NEUTRAL,3,541,0.3390654733460808,0.34011090573012936
classifier,NEUTRAL,4,492,0.45792441483686663,0.4451219512195122
classifier,NEUTRAL,5,531,0.5447701656858908,0.5254237288135594
classifier,NEUTRAL,6,497,0.6541322881900401,0.6096579476861167
classifier,NEUTRAL,7,239,0.7309953249777961,0.5899581589958159
classifier,NEUTRAL,8,1,0.8164722286508571,1.0
calibrated,NEUTRAL,2,30,0.27745716267289733,0.3333333333333333
calibrated,NEUTRAL,3,779,0.3630508949111378,0.337612323491656
calibrated,NEUTRAL,4,795,0.46228942394041556,0.4377358490566038
calibrated,NEUTRAL,5,936,0.5524862306409051,0.5801282051282052
calibrated,NEUTRAL,6,159,0.6133891230942945,0.6226415094339622
classifier,UP,0,409,0.06627518113265395,0.11246943765281174
classifier,UP,1,536,0.14820341681897423,0.1921641791044776
classifier,UP,2,705,0.24996862238189627,0.2865248226950355
classifier,UP,3,671,0.34925363968747763,0.3293591654247392
classifier,UP,4,350,0.4411002622377594,0.38571428571428573
classifier,UP,5,28,0.5206929342564907,0.32142857142857145
calibrated,UP,0,163,0.0803641757487414,0.08588957055214724
calibrated,UP,1,569,0.15178817086319815,0.15817223198594024
calibrated,UP,2,857,0.25539731847049135,0.26837806301050177
calibrated,UP,3,1019,0.34751030361534513,0.3434739941118744
calibrated,UP,4,91,0.41454781503833726,0.3516483516483517
